Label,X,Y,Block Name,Adjacent Points,RFID:Tag:ID,Point Type,
D6,59.3125,54.4375,2-4,D7;96-A,03:00:01:41:1F,RFID Tag,
D7,53.4375,56.1875,2-3,D6;D8,03:00:01:57:74,RFID Tag,
D8,47.75,59.375,2-3,D7;D9;FC,03:00:01:2A:3D,RFID Tag,
D9,42.5,61.1875,2-1,D8;DA,03:00:03:AB:64,RFID Tag,
DA,36.25,61.375,2-1,D9;DB,03:00:01:84:D2,RFID Tag,
DB,31.1875,59.25,2-1,DA;DC,03:00:02:5E:C6,RFID Tag,
DC,26.875,55.125,2-1,DB;DD,2A:00:6D:99:B7,RFID Tag,
DD,23.75,49.875,2-1,DC;DE,2A:00:6D:8E:5A,RFID Tag,
DE,20.5,44.8125,2-1,DD;DF,2A:00:6D:7F:3F,RFID Tag,
DF,17.1875,40,2-1,DE;E0,03:00:02:0E:59,RFID Tag,
E0,14.875,34.1875,2-1,DF;E1,2A:00:6D:B0:8F,RFID Tag,
E1,14.5,28.875,2-1,E0;E2,2A:00:6D:0A:53,RFID Tag,
E2,16.375,23.625,2-1,E1;E3,03:00:03:6F:A3,RFID Tag,
E3,20.5,19.25,1-1,E2;E4,03:00:02:69:E8,RFID Tag,
E4,25.5,16.875,1-1,E3;E5,03:00:01:DA:73,RFID Tag,
E5,31.25,16.5,1-1,E4;E6,03:00:01:38:33,RFID Tag,
E6,36.875,18.3125,1-1,E5;E7,03:00:00:90:73,RFID Tag,
E7,41.25,22.5,1-1,E6;OE8,03:00:02:14:46,RFID Tag,
OE8,43.625,27.125,1-1,E7;E8,,Orientation,
E8,44,27.875,1-1,OE8;E9,03:00:00:97:DA,RFID Tag,
E9,44.1875,33.5,1-1,E8; EA,03:00:01:6A:C4,RFID Tag,
EA,42.25,39.125,1-1,E9;EB,03:00:00:7A:B1,RFID Tag,
EB,38.1875,43.375,1-1,EA;EC,03:00:02:D9:3C,RFID Tag,
EC,33.375,46.625,1-1,EB;ED,03:00:01:89:15,RFID Tag,
ED,28.5,50,1-1,EC;EE,03:00:01:5D:E2,RFID Tag,
EE,23.5,53.1875,1-1,ED;EF,03:00:01:2C:52,RFID Tag,
EF,18.625,56.75,1-1,EE;F0,03:00:01:93:88,RFID Tag,
F0,13.875,60.3125,1-1,EF;F1,03:00:00:62:6E,RFID Tag,
F1,10.25,65.4375,2-2,F0;F2,03:00:02:C1:1D,RFID Tag,
F2,8.5625,70.625,2-2,F1;F3,2A:00:6D:6B:FE,RFID Tag,
F3,9.4375,76.375,2-2,F2;F4,03:00:00:94:E3,RFID Tag,
F4,12.625,81.75,2-2,F3;F5,03:00:03:9B:E6,RFID Tag,
F5,17.375,85.0625,2-2,F4;F6,03:00:02:2A:B2,RFID Tag,
F6,23,86.75,2-2,F5;F7,03:00:01:E3:49,RFID Tag,
F7,28.875,86.25,2-2,F6;F8,03:00:02:9C:D2,RFID Tag,
F8,33.875,83.25,2-2,F7;F9,03:00:01:9C:B4,RFID Tag,
F9,37.625,78.5,2-2,F8;FA,03:00:03:03:AD,RFID Tag,
FA,39.125,73.125,2-2,F9;FB,03:00:00:78:03,RFID Tag,
FB,40.875,67.625,2-2,FA;FC,03:00:00:5D:69,RFID Tag,
FC,44.375,62.75,2-2,FB;D8,03:00:00:89:1D,RFID Tag,
FD,71,54.375,2-5,96-A;FF;132,03:00:03:5B:F8,RFID Tag,
FF,81.911,55.529,2-5,FD;101,2A:00:6D:17:4E,RFID Tag,
101,93.552,54.774,2-7,FF;103,2A:00:6D:5B:6F,RFID Tag,
103,105.129,54.841,2-9,101;105,2A:00:6D:5D:9F,RFID Tag,
105,79.966,55.22,2-11,103;107,2A:00:6D:5D:C1,RFID Tag,
107,128.997,55.273,2-11,105;109,2A:00:6D:24:C1,RFID Tag,
109,140.644,55.205,2-12,107;10B-A;136,2A:00:6D:8A:51,RFID Tag,
10B-A,151.99,54.999,2-13,109;10D,2A:00:6D:9A:73,RFID Tag,
10B-B,151.99,54.999,U-6;5-4,A6;A8,2A:00:6D:9A:73,RFID Tag,
10D,163.33,56.775,2-14,10B-A;10F;131,2A:00:6D:1D:32,RFID Tag,
10F,174.964,61.703,2-16,10D;111,2A:00:6D:68:A4,RFID Tag,
111,186.526,59.28,2-16,10F;113,2A:00:6D:BC:93,RFID Tag,
113,193.917,50.159,2-16,111;115,2A:00:6D:5E:90,RFID Tag,
115,200.57,40.073,2-16,113;117,2A:00:6D:91:D7,RFID Tag,
117,202.297,28.786,2-16,115;119,2A:00:6D:38:5A,RFID Tag,
119,195.77,19.491,1-2,117;11B,2A:00:6D:3E:C0,RFID Tag,
11B,184.159,17.68,1-2,119;11D,2A:00:6D:3B:6C,RFID Tag,
11D,174.857,24.365,1-2,11B;11F,2A:00:6D:36:F7,RFID Tag,
11F,173.372,35.466,1-2,11D;121,2A:00:6D:C2:2D,RFID Tag,
121,179.571,44.921,1-2,11F;123,2A:00:6D:5C:33,RFID Tag,
123,189.641,51.427,1-2,121;125,2A:00:6D:07:05,RFID Tag,
125,199.292,57.841,1-2,123;127,2A:00:6D:12:4D,RFID Tag,
127,206.897,66.392,2-15,125;129,2A:00:6D:B3:DC,RFID Tag,
129,206.045,77.85,2-15,127;12B,2A:00:6D:45:AC,RFID Tag,
12B,197.025,85.08,2-15,129;12D,2A:00:6D:8E:B1,RFID Tag,
12D,185.745,83.781,2-15,12B;12F,2A:00:6D:9B:DF,RFID Tag,
12F,179.023,74.392,2-15,12D;131,2A:00:6D:23:8D,RFID Tag,
131,174.062,64.187,2-15,12F;10D,2A:00:6D:9A:EF,RFID Tag,
80,2.7973,46.2511,U-48;4-13,7F;82,2A:00:6D:8C:D9,RFID Tag,
82,2.5779,33.0651,U-48;4-13,80;84,2A:00:6D:A3:82,RFID Tag,
84,3.1271,22.0347,U-48;4-13,82;86,2A:00:6D:53:5B,RFID Tag,
86,8.0897,11.7546,U-53;1-11,84;88,2A:00:6D:B1:90,RFID Tag,
88,17.7492,4.1846,U-53;1-11,86;8A,2A:00:6D:AD:A9,RFID Tag,
8A,29.5312,4.2259,U-53;1-11,88;8C,2A:00:6D:29:EB,RFID Tag,
8C,41.0025,5.3725,U-53;1-11,8A;8E,2A:00:6D:47:8F,RFID Tag,
8E,50.5652,11.5236,U-53;1-11,8C;90,2A:00:6D:61:F8,RFID Tag,
90,56.0021,21.8627,U-57;3-13,8E;CB;92,2A:00:6D:51:39,RFID Tag,
92,56.7462,33.3803,3-8,90;94,2A:00:6D:94:6B,RFID Tag,
94,58.891,44.5115,3-8,92;96-B,2A:00:6D:61:EA,RFID Tag,
96-A,65.1197,54.6178,3-8,D6;FD,03:00:02:85:02,RFID Tag,
96-B,65.1197,54.6178,2-4,94;98,03:00:02:85:02,RFID Tag,
98,72.9469,63.0465,3-4,96-B;9A;137,2A:00:6C:FD:09,RFID Tag,
9A,84.4919,64.935,3-4,98;9C,2A:00:6D:0F:27,RFID Tag,
9C,96.2669,65.1408,5-15,9A;9E,2A:00:6D:AC:B1,RFID Tag,
9E,108.073,65.0729,5-15,9C;A0,2A:00:6C:EC:22,RFID Tag,
A0,119.7451,65.511,5-14,9E;A2,2A:00:6D:7F:63,RFID Tag,
A2,129.6279,65.6854,5-3,A0;A4,2A:00:6D:28:79,RFID Tag,
A4,141.2253,64.7153,5-3,A2;A6;13B,2A:00:6D:14:B2,RFID Tag,
A6,150.2962,57.6737,U-6;5-4,A4;10B-B,2A:00:6D:4A:5B,RFID Tag,
A8,156.1038,47.7031,U-6;5-4,10B-B;AA,2A:00:6D:64:96,RFID Tag,
AA,160.1512,36.7748,U-6;5-4,A8;AC,2A:00:6D:77:79,RFID Tag,
AC,160.2346,26.1726,U-9;8-1,AA;CF;AE,2A:00:6D:03:48,RFID Tag,
AE,163.3551,14.7362,U-12;8-6,AC;B0,2A:00:6C:EE:C1,RFID Tag,
B0,171.3698,6.6566,U-12;8-6,AE;B2,2A:00:6D:6C:78,RFID Tag,
B2,182.2005,3.5319,U-12;8-6,B0;B4,2A:00:6D:26:7B,RFID Tag,
B4,194.3273,3.3838,U-12;8-6,B2;B6,2A:00:6C:F6:7D,RFID Tag,
B6,204.9404,7.7674,U-12;8-6,B4;B8,2A:00:6D:00:15,RFID Tag,
B8,211.8754,16.6964,U-15;7-6,B6;BA,2A:00:6D:AD:64,RFID Tag,
BA,213.5368,28.0219,U-15;7-6,B8;BC,2A:00:6D:28:ED,RFID Tag,
BC,213.4455,39.5197,U-15;7-6,BA;BE,2A:00:6D:96:31,RFID Tag,
BE,213.4604,51.4445,U-15;7-6,BC;C0,2A:00:6D:91:E1,RFID Tag,
C0,213.5777,63.3229,U-15;7-6,BE;C2,2A:00:6D:11:D8,RFID Tag,
C2,213.4285,75.029,U-18;8-12,C0;C4,2A:00:6D:25:17,RFID Tag,
C4,209.5126,86.1464,U-18;8-12,C2;C6,2A:00:6D:A5:E5,RFID Tag,
C6,200.1632,92.9534,U-18;8-12,C4;C8,2A:00:6D:3C:2E,RFID Tag,
C8,189.1041,93.8132,U-18;8-12,C6;CA,2A:00:6D:12:EB,RFID Tag,
CA,177.4677,91.6222,U-20;8-10,C8;4B,2A:00:6C:FA:5A,RFID Tag,
4B,171.0401,90.9598,U-21;8-9,CA;49;D1;4D,2A:00:6D:9D:82,RFID Tag,Split this up by using switch position points. It is between SW71 and SW72. Have each switch link to the closes points as adjacent points.
4D,156.9072,91.0522,U-21;8-9,4B;4F,2A:00:6D:24:99,RFID Tag,
4F,145.4083,90.9879,U-22;8-14,4D;51,2A:00:6D:53:A5,RFID Tag,
51,133.3713,91.1652,U-22;8-14,4F;53,2A:00:6D:02:23,RFID Tag,
53,121.8844,91.4916,U-31;6-5,51;55,2A:00:6D:0E:B8,RFID Tag,
55,109.561,91.5477,U-31;6-5,53;57,2A:00:6D:BF:55,RFID Tag,
57,97.6,91.2692,U-31;6-5,55;59,2A:00:6D:0B:0A,RFID Tag,
59,86.0832,91.5341,U-33;4-3,57;5B,2A:00:6D:02:FA,RFID Tag,
5B,74.0193,91.5536,U-33;4-3,59;5D,2A:00:6D:98:CD,RFID Tag,
5D,62.3547,91.3515,U-33;4-3,5B;5F,2A:00:6D:6C:0D,RFID Tag,
5F,50.5724,91.5715,U-45;1-8,5D;D1;61;73,2A:00:6D:2B:CE,RFID Tag,Split this up by using switch position points. It is between SW21 and SW22. Have each switch link to the closes points as adjacent points.
73,38.8819,91.5223,U-45;1-8,5F;75,2A:00:6D:33:29,RFID Tag,
75,27.1897,94.7513,U-47;1-15,73;77,2A:00:6D:AA:F5,RFID Tag,
77,15.5303,93.5694,U-47;1-15,75;79,2A:00:6D:66:2A,RFID Tag,
79,6.4284,81.7987,U-47;1-15,77;7B,2A:00:6D:2C:19,RFID Tag,
7B,2.9716,75.0195,U-48;4-13,79;7D,2A:00:6D:B1:36,RFID Tag,
7D,2.799,63.3497,U-48;4-13,7B;7F,2A:00:6C:F7:E7,RFID Tag,
7F,2.7236,51.6483,U-48;4-13,7D;80,2A:00:6D:A7:8F,RFID Tag,
61,38.6832,91.0206,U-45;1-8,5F;63,2A:00:6D:A6:DA,RFID Tag,
63,26.8547,91.4575,U-46;1-14,61;65,2A:00:6D:1F:06,RFID Tag,
65,15.9338,88.5165,U-46;1-14,63;67,2A:00:6C:FC:F3,RFID Tag,
67,8.5,79.875,U-49;1-16,65;69,2A:00:6D:B4:78,RFID Tag,
69,6.3352,68.6133,U-49;1-16,67;6B,2A:00:6D:BD:AD,RFID Tag,
6B,6.2667,57.3338,U-49;1-16,69;6D,2A:00:6D:4D:CE,RFID Tag,
6D,6.3125,44.75,U-50;4-14,6B;6F,2A:00:6D:BF:3D,RFID Tag,
6F,6.285,33.3249,U-51;4-15,6D;71;172,2A:00:6D:65:2E,RFID Tag,
71,7.1265,20.896,U-52;4-16,6F;00,2A:00:6D:70:27,RFID Tag,
00,10.9523,14.4267,U-55;1-10,71;02,2A:00:6D:73:15,RFID Tag,
02,20.8428,8.9774,U-55;1-10,00;04,2A:00:6D:9E:FC,RFID Tag,
04,32.8253,8.2073,U-55;1-10,02;06,2A:00:6D:B7:BD,RFID Tag,
06,43.8501,11.2571,U-58;3-14,04;08,2A:00:6D:10:9F,RFID Tag,
08,51.5015,19.8673,U-58;3-14,06;0A,2A:00:6D:2A:32,RFID Tag,
0A,52.77,31.7765,U-58;3-14,08;0C,2A:00:6D:51:4B,RFID Tag,
0C,52.7266,43.4798,U-59;3-15,0A;0E,2A:00:6D:BD:B6,RFID Tag,
0E,52.5441,55.355,U-60;3-16,0C;10;145,2A:00:6D:37:64,RFID Tag,
10,52.3037,67.0172,U-60;3-16,0E;12,2A:00:6D:AA:D5,RFID Tag,
12,54.7675,78.4841,1-3,10;14,2A:00:6D:25:1B,RFID Tag,
14,63.4074,85.7616,1-3,12;16,2A:00:6D:A6:64,RFID Tag,
16,74.8203,86.8247,U-34;4-4,14;18;D1,2A:00:6D:1C:3C,RFID Tag,
18,86.756,86.7581,4-1,16;1A,2A:00:6D:2A:3B,RFID Tag,
1A,98.3718,86.9057,U-32;6-6,18;1C,2A:00:6D:03:CA,RFID Tag,
1C,110.2126,86.9567,U-32;6-6,1A;1E,2A:00:6D:00:97,RFID Tag,
1E,121.8242,87.071,U-23;8-13,1C;20,2A:00:6D:73:41,RFID Tag,
20,133.758,86.7235,U-23;8-13,1E;22;D5,2A:00:6D:81:63,RFID Tag,
22,145.2101,86.9367,U-25;8-16,20;24,2A:00:6D:76:81,RFID Tag,
24,156.3875,83.6515,1-4,22;26,2A:00:6D:33:47,RFID Tag,
26,163.3942,74.5228,1-4,24;28,2A:00:6D:97:D1,RFID Tag,
28,164.5122,63.0587,U-61;8-4,26;2A;151,2A:00:6D:38:C0,RFID Tag,
2A,164.2892,51.4917,U-8;8-3,28;2C;CF,2A:00:6D:33:39,RFID Tag,
2C,164.0683,39.5559,U-10;8-2,2A;2E,2A:00:6D:97:CD,RFID Tag,
2E,163.6738,27.5903,U-10;8-2,2C;30,2A:00:6D:91:BF,RFID Tag,
30,166.2583,16.4134,U-10;8-2,2E;32,2A:00:6D:29:F7,RFID Tag,
32,174.9977,8.8902,8-7,30;34,2A:00:6D:89:27,RFID Tag,
34,186.319,7.5144,8-7,32;36,2A:00:6D:07:1D,RFID Tag,
36,198.0231,8.8643,8-7,34;38,2A:00:6D:3B:B4,RFID Tag,
38,206.7591,16.5156,U-13;7-8,36;3A,2A:00:6D:86:4C,RFID Tag,
3A,209.3249,27.9677,U-16;7-5,38;3C,2A:00:6D:0B:1E,RFID Tag,
3C,209.6321,39.5709,U-17;7-7,3A;3E;176,2A:00:6D:0D:86,RFID Tag,
3E,209.6596,51.4829,U-17;7-7,3C;40,2A:00:6D:8F:8C,RFID Tag,
40,209.6682,62.8841,7-13,3E;42,2A:00:6D:08:38,RFID Tag,
42,209.6942,74.7649,7-13,40;44,2A:00:6D:58:54,RFID Tag,
44,205.0329,85.0533,7-13,42;46,2A:00:6D:93:75,RFID Tag,
46,194.6859,90.518,U-19;8-11,44;48,2A:00:6D:3A:A0,RFID Tag,
48,182.7059,90.6629,U-19;8-11,46;49,2A:00:6D:5A:D9,RFID Tag,
49,177.368,90.268,U-4;5-2,48;4B,2A:00:6D:BD:FE,RFID Tag,
145,52.507,66.775,U-60;3-16,0E;146,2A:00:6D:9D:E1,RFID Tag,
146,56.759,77.895,U-60;3-16,145;147,2A:00:6D:0F:A3,RFID Tag,
147,67.077,82.851,U-35;1-6,146;148;152,2A:00:6D:90:21,RFID Tag,
148,78.877,83.531,3-4,147;149,2A:00:6C:EC:7E,RFID Tag,
149,90.807,83.411,3-4,148;14A,2A:00:6D:BA:18,RFID Tag,
14A,102.657,83.34,6-7,149;14B,2A:00:6D:38:16,RFID Tag,
14B,114.644,83.244,6-7,14A;14C,2A:00:6D:BA:01,RFID Tag,
14C,126.649,83.181,6-2,14B;14D,2A:00:6D:5D:3B,RFID Tag,
14D,138.471,82.856,6-2,14C;158,2A:00:6D:7D:2A,RFID Tag,
158,142.669,83.054,U-26;8-15,14D;14E,2A:00:6D:8A:8E,RFID Tag,
14E,150.583,82.39,U-26;8-15,14F;158;159,2A:00:6D:C1:B2,RFID Tag,
14F,160.171,77.049,U-61;8-4,14E;150,2A:00:6C:F7:90,RFID Tag,
150,161.719,74.607,U-61;8-4,14F;151,2A:00:6D:73:96,RFID Tag,
151,163.526,68.522,U-61;8-4,150;28,,Point,
152,76.324,82.126,U-36;1-5,147;153;15A,2A:00:6D:59:8C,RFID Tag,
153,88.294,81.199,3-3,152;154,2A:00:6D:9C:41,RFID Tag,
154,99.889,81.088,3-2,153;155,2A:00:6D:11:46,RFID Tag,
155,111.956,81.182,3-2,154;156,2A:00:6D:33:8F,RFID Tag,
156,123.629,81.255,6-3,155;157,2A:00:6D:96:61,RFID Tag,
157,134.094,80.98,U-27,156;159,2A:00:6D:29:93,RFID Tag,
159,142.587,82.065,U-26;8-15,157;14E;15F,2A:00:6D:69:B8,RFID Tag,
15A,85.199,79.563,U-37;4-2,152;15B;160,2A:00:6D:26:F8,RFID Tag,
15B,96.737,79.187,3-1;6-8,15A;15C,2A:00:6D:80:C3,RFID Tag,
15C,108.505,79.375,3-1;6-8,15B;15D,2A:00:6D:7D:A2,RFID Tag,
15D,120.41,79.338,6-4,15C;15E,2A:00:6D:7F:30,RFID Tag,
15E,128.673,79.316,6-4,15D;15F,2A:00:6D:93:D5,RFID Tag,
15F,134.309,80.183,U-27,15E;159,2A:00:6D:BF:57,RFID Tag,
160,93.677,77.671,U-38;5-8,15A;161;166,2A:00:6D:0B:6D,RFID Tag,
161,105.694,77.099,U-42;5-5,160;162,2A:00:6D:99:CB,RFID Tag,
162,117.616,77.149,U-42;5-5,161;163,2A:00:6D:92:3E,RFID Tag,
163,129.403,77.205,U-42;5-5,162;164,2A:00:6D:24:04,RFID Tag,
164,141.606,77.127,U-42;5-5,163;165,2A:00:6D:78:7A,RFID Tag,
165,153.258,76.939,U-28;7-4,164;171,2A:00:6D:C1:25,RFID Tag,
171,156.258,76.939,U-28;7-4,165,,Point,
166,102.04,75.684,U-39;5-7,160;167;16C,2A:00:6D:6D:2C,RFID Tag,
167,113.753,75.087,U-41;5-6,166;168,2A:00:6D:6A:0F,RFID Tag,
168,125.778,75.196,U-41;5-6,167;169,2A:00:6D:26:19,RFID Tag,
169,137.558,75.068,U-41;5-6,168;16A,2A:00:6D:C3:EE,RFID Tag,
16A,149.38,74.75,U-29;7-3,169;16B,2A:00:6C:F1:37,RFID Tag,
16B,156.88,74.75,U-29;7-3,16A,,Point,
16C,113.742,73.113,U-40;7-1,166;16D,2A:00:6C:FC:61,RFID Tag,
16D,125.504,73.227,U-40;7-1,16C;16E,2A:00:6D:61:DF,RFID Tag,
16E,137.176,73.391,U-40;7-1,16D;16F,2A:00:6D:32:5E,RFID Tag,
16F,149.049,72.882,U-30;7-2,16E;170,2A:00:6C:EF:B0,RFID Tag,
170,158.174,72.882,U-30;7-2,16F,,Point,
137,84.46,64.451,3-4,98;138,03:00:01:8A:C0,RFID Tag,
138,96.29,63.307,4-10;5-1,137;139,03:00:01:3B:52,RFID Tag,
139,108.181,63.604,4-10;5-1,138;13A,03:00:02:4C:54,RFID Tag,
13A,119.952,63.812,4-10;5-1,139;13B,03:00:01:71:83,RFID Tag,
13B,129.542,65.223,5-3,13A;A4;13C,03:00:00:7C:3D,RFID Tag,
13C,120.324,62.541,U-4;5-2,13B;13D;141,03:00:03:4C:6D,RFID Tag,
13D,115.572,61.301,4-9,13C;13E,03:00:02:0D:B3,RFID Tag,
13E,96.674,61.12,4-9,13D;13F,03:00:02:FE:30,RFID Tag,
13F,84.905,61.23,3-7,13E;140,03:00:00:93:4B,RFID Tag,
140,74.655,61.23,3-7,13F,,Point,
141,108.677,59.769,4-12,13C;142,03:00:02:54:0E,RFID Tag,
142,96.697,59.47,4-12,141;143,03:00:01:CF:69,RFID Tag,
143,84.96,59.459,3-5,142;144,03:00:02:DA:78,RFID Tag,
144,78.21,59.459,3-5,143,,Point,
132,81.812,54.594,2-5,FD;133,03:00:01:8A:C0,RFID Tag,
133,93.567,53.55,2-6,132;134,03:00:01:C6:20,RFID Tag,
134,105.567,53.144,2-8,133;135,03:00:02:03:01,RFID Tag,
135,117.494,53.098,2-10,134;136,03:00:00:28:85,RFID Tag,
136,129.428,53.297,2-10,135;109,03:00:01:BD:E2,RFID Tag,
172,9.8465,22.2548,U-54;1-12,6F;173,2A:00:6D:3E:60,RFID Tag,
173,18.5053,14.0732,U-54;1-12,172;174,2A:00:6D:4A:A2,RFID Tag,
174,30.2325,12.1348,U-56;1-9,173;175,2A:00:6D:6B:C6,RFID Tag,
175,39.7325,12.1348,U-56;1-9,174,,Point,
176,208.6674,27.6891,U-16;7-5,3C;177,03:00:01:B3:86,RFID Tag,
177,203.8122,17.1546,U-14;8-5,176;178,03:00:00:8D:4B,RFID Tag,
178,193.674,11.0796,U-14;8-5,177;179,2A:00:6D:7E:4D,RFID Tag,
179,181.6999,11.0614,U-11;8-8,178;17A,2A:00:6D:2C:24,RFID Tag,
17A,176.1999,11.0614,U-11;8-8,179,,Point,
CC,54.7136,37.2615,U-57;3-13,SW12;SW13,03:00:01:61:21,RFID Tag,SW12;SW13
0F,162.323,37.9858,U-9;8-1,SW82;SW83,03:00:02:9D:DA,RFID Tag,SW82;SW83
D1,69.116,88.4433,U-44;1-7,16;5F,03:00:03:C2:8B,RFID Tag,SW23;SW22
D4,151.3271,88.794,U-25;8-16,SW73;SW72,03:00:02:BD:30,RFID Tag,SW73;SW72
